comment,is_spam
Please remove contact email from Speaker Info. ,0
Removed.,0
You can create github/bitbucket repo for the workshop and share it later.,0
"Yes, that is my plan.  Hopefully in a couple of weeks. ",0
"Please add a few more details about the Pythonic part of your talk. For example, write a bit about which Python modules you used in your stack.

Thanks",0
"Please add slides from any previous presentation you might have made on this topic. If you have tentative slides planned for this presentation, which you are incrementally working on, sharing them would be useful too.

Thanks",0
Sure Jaidev will add same.,0
Just Added the slides from one of our previous talks. It was on introduction to Deep Learning. The PyCon talk will be more about python methods / libraries to implement such algorithms.,0
"A detailed description breaking down the talk into smaller sections with more detailed description would be great!  These are [some examples][1] of proposals with detailed descriptions. 


  [1]: http://rhodesmill.org/brandon/2013/example-pycon-proposals/",0
Please let me know if you would like any particular topic from FLASK framework to be covered. I will try to include that in my workshop/session.,0
Good Content.. Will Attend ,0
the topic is good but i am not seeing much in the slide... it will be great if the author will share github samples...,0
"Thanks Puneeth
Template was helpful.

Have updated the talk based on same.",0
"I was a successful student TUCKER BALCH, PH.D ASSOCIATE PROFESSOR COLLEGE OF COMPUTING
GEORGIA INSTITUTE OF TECHNOLOGY in his computation investment part 1 course. This subject is interesting and will be useful. Incidentally the professor is also conducting many interesting courses on automation/machine learning. For instance for a large world wide manufacturer like Brachot Hermant NV Belgium, it will be useful to use data on raw blocks and color area to predict the rejects in the final polished slabs etc.
",0
"I was a successful student TUCKER BALCH, PH.D ASSOCIATE PROFESSOR COLLEGE OF COMPUTING
GEORGIA INSTITUTE OF TECHNOLOGY in his computation investment part 1 course. This subject is interesting and will be useful. Incidentally the professor is also conducting many interesting courses on automation/machine learning. For instance for a large world wide manufacturer like Brachot Hermant NV Belgium, it will be useful to use data on raw blocks and color area to predict the rejects in the final polished slabs etc.
",0
"It is very much the need of the hour that we(Indians) should start developing applications in our languages.  Along with this initiative, it is good to know that Tamil, one of the classical languages - leads the first step for other Indian languages.  ",0
"The CAP theorem is an impossibility result according to wikipedia. So could you explain what you mean by ""Distributed systems always demands to meet CAP theorem which is really hard to meet with a good performance numbers""?",0
"CAP theorem happens to gurantee any two of consistency, availability & partition tolerance. If you fail to meet even two out of three then you are in danger. IMO, meeting all three is impossible, but not two.",0
This seems really interesting. I'd be really interested to learn the ins and outs of this! :),0
Online judges are imperative to coding competitions which form the basis for all great progrmmers. Learning to build one will be an exciting challenge and I look forward to learning more about it. ,0
Is this the same thing which judged during cybercept15?,0
Yes aditya.,0
Link of pydanny-cookiecutter under **proposal description** throws 404 error and also same error to the link of cookiecutter under **Speaker-Info**,0
"All the urls should be working fine now. Thanks a lot, Sheesh!",0
"> It was really a great work. Good initiative effort from your side. Let
> us know more in the same which helps **students from rural areas**
> also to get involved in this to develop their own application to get
> their things done & prove themselves to the world.
> 
> It's good to know that this **initiative & innovation** will sure
> bring changes & also help us to sustain with Tamil Language forever.
> All the very best for your upcoming works.",0
I have got really high expectations from this one. Hopefully it would be good.,0
Thanks! Hopefully I'll meet them.,0
This seems super interesting!,0
"Nice and Challenging Topic.
does this module deal with Data cleansing of text also.",0
"Sorry the github link was wrong. Its 

https://github.com/saisrk",0
"It directly supports only regular expressions for text cleaning, but it also provides third-party support for arbitrary data cleaning. So you can have all the text cleaning functionality in a separate module and this module will automate all of that.",0
This is wonderful Course content for Beginners like me. Please let me know when you are conducting.,0
"Looks like there is duplicate talk . Can one of you delete on the talk.
https://in.pycon.org/cfp/pycon-india-2015/proposals/building-nextgen-iot-solutions-using-python-and-cloud/",0
